,E,ratio,solutions,real_solutions,isOpt,Entropy,gamma_1,gamma_2,beta_1,beta_2,formula,MaxObj
0,0.99995849,0.99995849,111,"['1110', '1101', '1011', '1000', '0111', '0100', '0010', '0001']",TRUE,0.2499118,2.59993875,1.08330781,0.8975979,2.6927937,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1)","[1, 1, 1, 1, 1, 1, 1, 1]"
1,0.99995849,0.99995849,1111,"['1111', '1100', '1010', '1001', '0110', '0101', '0011', '0000']",TRUE,0.2499118,2.59993875,1.08330781,0.8975979,2.6927937,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)","[1, 1, 1, 1, 1, 1, 1, 1]"
2,0.99997119,0.99997119,1111,"['1111', '1100', '1010', '1001', '0111', '0100', '0010', '0001']",TRUE,0.24993688,4.76655437,3.03326187,2.46839423,0.8975979,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
3,0.99997119,0.99997119,1011,"['1110', '1101', '1011', '1000', '0110', '0101', '0011', '0000']",TRUE,0.24993688,4.76655437,3.03326187,2.46839423,0.8975979,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
4,0.99997119,0.99997119,1111,"['1111', '1100', '1011', '1000', '0110', '0101', '0010', '0001']",TRUE,0.24993688,4.76655437,3.03326187,2.46839423,0.8975979,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
5,0.99997119,0.99997119,111,"['1110', '1101', '1010', '1001', '0111', '0100', '0011', '0000']",TRUE,0.24993688,4.76655437,3.03326187,2.46839423,0.8975979,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
6,0.99997119,0.99997119,1111,"['1111', '1101', '1010', '1000', '0110', '0100', '0011', '0001']",TRUE,0.24993688,4.76655437,3.03326187,2.46839423,0.8975979,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
7,0.99997119,0.99997119,111,"['1110', '1100', '1011', '1001', '0111', '0101', '0010', '0000']",TRUE,0.24993688,4.76655437,3.03326187,2.46839423,0.8975979,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
8,0.99997119,0.99997119,1111,"['1111', '1110', '1001', '1000', '0101', '0100', '0011', '0010']",TRUE,0.24993688,4.76655437,3.03326187,2.46839423,0.8975979,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
9,0.99997119,0.99997119,110,"['1101', '1100', '1011', '1010', '0111', '0110', '0001', '0000']",TRUE,0.24993688,4.76655437,3.03326187,2.46839423,0.8975979,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
10,0.99995849,0.99995849,1,"['1110', '1100', '1011', '1001', '0110', '0100', '0011', '0001']",TRUE,0.2499118,2.59993875,5.1998775,2.91719318,0.8975979,"(0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
11,0.99995849,0.99995849,0,"['1111', '1101', '1010', '1000', '0111', '0101', '0010', '0000']",TRUE,0.2499118,2.59993875,5.1998775,2.91719318,0.8975979,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
