,E,ratio,solutions,real_solutions,isOpt,Entropy,gamma_1,gamma_2,beta_1,beta_2,formula,MaxObj
0,1,1,1000,"['1110', '1101', '1011', '1000', '0111', '0100', '0010', '0001']",TRUE,0.25,1.60154854,4.14937626,0.39755325,1.57988817,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1)","[1, 1, 1, 1, 1, 1, 1, 1]"
1,1,1,0,"['1111', '1100', '1010', '1001', '0110', '0101', '0011', '0000']",TRUE,0.25,3.94904465,2.36339717,2.29554217,1.13448144,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)","[1, 1, 1, 1, 1, 1, 1, 1]"
2,1,1,1100,"['1111', '1100', '1010', '1001', '0111', '0100', '0010', '0001']",TRUE,0.25,2.67254673,4.34223975,0.8143127,2.51965916,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
3,1,1,0,"['1110', '1101', '1011', '1000', '0110', '0101', '0011', '0000']",TRUE,0.25,4.75447151,1.0348395,1.56245888,0.01631698,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
4,1,1,10,"['1111', '1100', '1011', '1000', '0110', '0101', '0010', '0001']",TRUE,0.25,2.03649835,2.20305938,2.49231156,1.89761003,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
5,1,1,1010,"['1110', '1101', '1010', '1001', '0111', '0100', '0011', '0000']",TRUE,0.25,2.3988325,4.62345712,2.65041683,0.2774559,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
6,1,1,1,"['1111', '1101', '1010', '1000', '0110', '0100', '0011', '0001']",TRUE,0.25,0.35424819,1.33722781,0.29067503,2.52838908,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
7,1,1,10,"['1110', '1100', '1011', '1001', '0111', '0101', '0010', '0000']",TRUE,0.25,4.71239536,6.28318531,2.87367824,0.79151331,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
8,1,1,1001,"['1111', '1110', '1001', '1000', '0101', '0100', '0011', '0010']",TRUE,0.25,4.49980074,5.2005491,2.65628543,0.96678859,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
9,1,1,1101,"['1101', '1100', '1011', '1010', '0111', '0110', '0001', '0000']",TRUE,0.25,4.57801166,3.00120974,0.94877585,1.47328834,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
10,1,1,110,"['1110', '1100', '1011', '1001', '0110', '0100', '0011', '0001']",TRUE,0.25,1.08541836,0.66060033,2.72925145,1.13887197,"(0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
11,1,1,101,"['1111', '1101', '1010', '1000', '0111', '0101', '0010', '0000']",TRUE,0.25,4.15973148,3.78962609,0.30934828,1.04352779,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
12,1,1,100,"['1101', '1100', '1011', '1010', '0101', '0100', '0011', '0010']",TRUE,0.25,0.47509607,4.39862718,2.69748776,2.17477215,"(0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
13,1,1,1110,"['1111', '1110', '1001', '1000', '0111', '0110', '0001', '0000']",TRUE,0.25,1.40637278,6.07148029,1.91520728,2.01731109,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
14,1,1,1110,"['1110', '1100', '1010', '1000', '0111', '0101', '0011', '0001']",TRUE,0.25,1.18493923,0.38623626,3.11828437,0.80699161,"(0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
15,1,1,1111,"['1111', '1101', '1011', '1001', '0110', '0100', '0010', '0000']",TRUE,0.25,4.92650762,2.90236763,0.23498638,1.01460166,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
16,1,1,11,"['1101', '1100', '1001', '1000', '0111', '0110', '0011', '0010']",TRUE,0.25,2.08228624,2.56092772,2.86946314,2.12196155,"(0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
17,1,1,1110,"['1111', '1110', '1011', '1010', '0101', '0100', '0001', '0000']",TRUE,0.25,5.95176756,1.46543983,2.20001933,0.62799051,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)","[1, 1, 1, 1, 1, 1, 1, 1]"
18,2,1,1,"['1110', '1101', '0010', '0001']",TRUE,0.5,1.57079417,1.57079395,0.78539947,0.78539756,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1)","[2, 2, 2, 2]"
19,2,1,101,"['1010', '1001', '0110', '0101']",TRUE,0.5,4.71239085,4.71238865,2.35619467,2.35619554,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1)","[2, 2, 2, 2]"
20,1.66166245,0.83083122,1,"['1010', '1001', '0010', '0001']",TRUE,0.29229922,4.50819961,1.13208931,2.30193539,0.91606085,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0)","[2, 2, 2, 2]"
21,1.66166245,0.83083122,1101,"['1110', '1101', '0110', '0101']",TRUE,0.29229923,4.50819802,1.13208981,2.30193417,0.91606178,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0)","[2, 2, 2, 2]"
22,1.70722456,0.85361228,101,"['0110', '0101', '0010', '0001']",TRUE,0.31504279,1.88594253,2.01258511,0.83457303,1.04995483,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0)","[2, 2, 2, 2]"
23,1.66166245,0.83083122,1001,"['1110', '1101', '1010', '1001']",TRUE,0.29229923,4.50819615,1.13209142,2.30193204,0.91606174,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0)","[2, 2, 2, 2]"
24,2,1,1101,"['1101', '1010', '0110', '0001']",TRUE,0.5,4.71238863,4.71238937,1.57079542,1.57079713,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0)","[2, 2, 2, 2]"
25,2,1,1001,"['1110', '1001', '0101', '0010']",TRUE,0.5,4.71238863,4.71238856,1.5707964,1.5707959,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0)","[2, 2, 2, 2]"
26,2,1,10,"['1110', '1001', '0101', '0010']",TRUE,0.5,4.71238817,4.71238826,1.57079541,1.57079746,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0)","[2, 2, 2, 2]"
27,1.9329719,0.96648595,110,"['1101', '1010', '0110', '0001']",TRUE,0.43861108,0.9245323,1.69619403,0.77380006,0.50859739,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0)","[2, 2, 2, 2]"
28,2,1,1110,"['1110', '1001', '0110', '0001']",TRUE,0.5,5.220857,4.52557736,2.10196041,2.42361809,"(0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0)","[2, 2, 2, 2]"
29,2,1,10,"['1101', '1010', '0101', '0010']",TRUE,0.5,4.71239005,3.14159246,2.3561943,0.78539823,"(0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0)","[2, 2, 2, 2]"
30,2,1,1101,"['1101', '1010', '0101', '0010']",TRUE,0.5,1.57079739,3.14159167,0.78539795,2.35619426,"(0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0)","[2, 2, 2, 2]"
31,2,1,1,"['1110', '1001', '0110', '0001']",TRUE,0.5,1.57078404,3.14158977,0.78540277,2.35619864,"(0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0)","[2, 2, 2, 2]"
32,2,1,1,"['1110', '1010', '0101', '0001']",TRUE,0.5,4.71239015,3.14159125,2.35619332,0.78539911,"(0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0)","[2, 2, 2, 2]"
33,2,1,110,"['1101', '1001', '0110', '0010']",TRUE,0.5,1.57079732,3.14159403,0.78539713,2.3561947,"(0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0)","[2, 2, 2, 2]"
34,2,1,1001,"['1101', '1001', '0110', '0010']",TRUE,0.5,4.71238937,3.14159144,2.356195,0.78539637,"(0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0)","[2, 2, 2, 2]"
35,2,1,1,"['1110', '1010', '0101', '0001']",TRUE,0.5,1.06232713,1.75760702,1.03963272,0.71797498,"(0, 0, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0)","[2, 2, 2, 2]"
36,2,1,1011,"['1011', '1000', '0111', '0100']",TRUE,0.5,4.71238897,4.71238895,2.35619446,2.35619456,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1)","[2, 2, 2, 2]"
37,2,1,0,"['1111', '1100', '0011', '0000']",TRUE,0.5,1.57079791,1.57079413,0.78539682,0.78539881,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1)","[2, 2, 2, 2]"
38,1.70722456,0.85361228,1100,"['1111', '1100', '0111', '0100']",TRUE,0.31504313,1.88594877,2.01258486,0.83457505,1.0499599,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0)","[2, 2, 2, 2]"
39,1.66166245,0.83083122,0,"['1011', '1000', '0011', '0000']",TRUE,0.29229924,4.50819816,1.13208944,2.30193635,0.91606027,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)","[2, 2, 2, 2]"
40,1.70722456,0.85361228,1011,"['1111', '1100', '1011', '1000']",TRUE,0.31504299,1.88594591,2.01258419,0.83457456,1.04995778,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0)","[2, 2, 2, 2]"
